"ResNet Transfer Learning, 50 epoch, with improved model, 3 patience"
batch_size,64
epoch,50
lr,0.0003
model,2d_ResNet
model_params,
0.7179394140832069,0.6736363893264439,0.9988
0.6279134345775287,0.5702268385397047,0.9955
0.5588223781513627,0.554069889644037,0.9988
0.5580772490165096,0.5542862576037249,0.9985
0.5553898935774412,0.5529046896146892,0.9988
0.553918643273995,0.5528199238817522,0.9988
0.5540176137268393,0.5528769318685566,0.9988
0.5540128767280195,0.5581626924522842,0.9976
0.5602333933340212,0.5528294216332441,0.9988
0.5539027286656858,0.5528849658827684,0.9985
0.5538911228456185,0.5529375281702938,0.9985
0.5537608758027968,0.5529601834128817,0.9985
0.5537603522007651,0.5530243784081115,0.9985
0.5539596187497867,0.5529215270259216,0.9985
0.5538577832082657,0.5530191238298382,0.9985
0.553781572247032,0.5529625442469135,0.9985
0.5537552527996995,0.553028984038112,0.9985
0.5538314685473213,0.5530005178111352,0.9985
0.5538946573740289,0.5531334851067761,0.9985
0.5538653154457246,0.5530608761267334,0.9985
0.5538010929213363,0.5530025017737189,0.9985
0.5538242956493002,0.5529661444539459,0.9985
0.5539596395948972,0.5531399675263171,0.9985
0.5537650674056046,0.5529726794870186,0.9985
0.5538925286684588,0.5529154073514558,0.9985
0.5538701073588893,0.5531080173465909,0.9985
0.5539204969394117,0.5529525409730776,0.9985
0.5537521366388432,0.552780113384542,0.9988
0.5538138906781559,0.552944121871058,0.9985
0.5539172048772912,0.5532008119044598,0.9982
0.553764407514625,0.553056526140838,0.9985
0.5537975176755967,0.5531050149157661,0.9985
0.5537550796129241,0.5530003321502345,0.9985
0.5537571613854665,0.5529929954455005,0.9985
0.5537851472525512,0.5530108224956416,0.9985
0.553831349590263,0.5530689157626649,0.9985
0.553758400261252,0.5529522714188194,0.9985
0.5537657804993599,0.5529193919255627,0.9985
0.5537782461276883,0.5530013505464021,0.9985
0.5537617947893119,0.5530286854383014,0.9985
0.5538386700495664,0.5529765364192561,0.9985
0.5537787673515396,0.5529163168448202,0.9985
0.5537855478378026,0.5530150051993356,0.9985
0.5538153894301926,0.5529838374476911,0.9985
0.5537553548152261,0.5529992620774884,0.9985
0.5538318887105216,0.5529981106339515,0.9985
0.5538056949884526,0.5529990374969889,0.9985
0.5537890661513475,0.5529758969846631,0.9985
0.553874408748348,0.5530394724375391,0.9985
0.5537748891100175,0.5529818464219209,0.9985
